1,3,1,3,1,0.44237,1.3271
2,2,1,5,3,0.37917,1.1375
3,2,1,5,3,0.44237,1.5167
4,3,2,5,5,0.37917,2.275
5,2,3,3,1,0.50556,1.1375
6,1,3,4,4,0.44237,9.3271
7,3,2,5,5,0.44237,2.275
8,1,3,4,4,0.44237,1.8959
9,2,1,5,3,0.37917,1.8959
10,2,3,5,5,0.50556,1.5167
11,1,3,1,3,0.44237,1.1375
12,3,2,1,3,0.44237,1.5167
13,2,1,4,4,0.50556,2.275
14,1,2,3,5,0.44237,1.3271
15,3,1,3,1,0.44237,1.5167
16,3,2,1,3,0.63195,1.3271
17,2,1,4,4,0.50556,1.8959
18,1,3,4,4,0.75834,1.8959
19,3,2,3,5,0.37917,9.1375
20,1,2,5,4,0.50556,1.1375
21,3,2,5,5,0.44237,1.1375
22,1,2,4,4,0.44237,2.275
23,1,3,1,3,0.50556,9.1375
24,2,1,5,3,0.63195,1.3271
25,3,1,3,1,0.37917,1.1375
26,2,3,5,3,0.50556,1.3271
27,2,3,3,1,0.50556,1.1375
28,1,2,3,5,0.44237,1.5167
29,2,3,5,5,0.50556,1.8959
30,3,1,3,1,0.75834,9.3271
31,1,3,4,1,0.44237,1.3271
32,1,3,1,3,0.44237,1.3271
33,2,3,5,5,0.37917,1.1375
34,1,3,1,3,0.44237,1.3271
35,1,2,4,4,0.44237,1.8959
36,1,2,3,5,0.75834,1.3271
37,3,1,3,1,0.44237,1.5167
38,1,2,4,4,0.50556,1.1375
39,3,1,1,4,0.63195,1.3271
40,3,2,1,3,0.50556,1.3271
41,3,2,3,5,0.44237,9.1375
42,1,3,1,3,1.0111,1.3271
43,2,1,4,4,0.44237,9.1375
44,2,3,5,3,0.44237,1.1375
45,2,1,5,3,0.50556,10.275
