1,3,1,4,3,0.50556,1.3271
2,3,1,3,4,0.50556,1.3271
3,2,1,4,4,0.44237,3.0334
4,3,2,1,2,0.37917,1.5167
5,1,2,4,4,0.63195,1.5167
6,1,2,1,3,0.75834,9.5167
7,1,2,4,5,0.50556,1.3271
8,3,2,1,2,0.44237,1.1375
9,3,1,5,5,0.44237,1.8959
10,3,2,4,3,0.37917,1.1375
11,2,3,3,3,0.37917,9.3271
12,2,3,3,3,0.37917,1.8959
13,1,2,4,5,0.44237,1.5167
14,1,2,4,5,0.44237,1.3271
15,2,3,3,3,0.37917,1.8959
16,2,3,2,1,0.44237,1.1375
17,3,1,4,3,0.50556,1.1375
18,1,3,3,4,0.63195,9.1375
19,2,3,3,4,0.44237,1.3271
20,1,3,5,5,0.44237,1.5167
21,1,3,5,5,0.75834,1.3271
22,1,2,1,3,0.44237,2.275
23,1,2,4,4,0.75834,1.1375
24,1,3,3,4,0.44237,1.3271
25,2,1,4,4,0.37917,10.275
26,3,1,4,3,0.50556,1.1375
27,3,1,5,5,0.44237,1.5167
28,3,2,1,2,0.44237,1.1375
29,1,2,1,3,0.44237,9.5167
30,2,3,3,3,0.63195,2.275
31,1,2,4,5,0.44237,1.1375
32,3,2,4,3,0.44237,1.5167
33,3,1,3,4,0.44237,1.3271
34,1,2,4,5,0.44237,1.3271
35,1,3,4,3,0.37917,2.275
36,2,3,3,4,0.44237,9.1375
37,3,2,3,3,0.75834,1.3271
38,1,2,1,3,0.50556,1.1375
39,1,3,4,3,0.50556,1.1375
40,2,3,2,1,0.50556,1.1375
41,1,3,3,4,0.37917,1.1375
42,1,2,4,4,0.44237,1.1375
43,2,3,3,4,0.50556,1.5167
44,1,3,4,3,0.37917,1.3271
45,1,2,4,4,0.37917,9.3271
